hashed_charge_box_id,vendor,model,fw_version,masked_latitude,masked_longitude,registration_time
8798cead57abc6a4c36761fb280e25ce7ebc86beffd1dddaad291d4cc30b5ce1,Tucker,Fatafat,2.1.0,10.03,76.90,"2025-08-13 06:16:34"
96088fa11f9b61057829eca60d3c1f20239af177a03135b2bebe4d9061816a7a,SIEMENS,01,THJK07003Q-3_Siemens_1.06.25.07.25.Beta1,10.03,76.90,"2025-08-08 12:52:22"
fa3c27acdc1602f771eaf3d5ce3ea21522e67612d5fe1093c5af66a477cf9e78,CN.TH,01,THJK07003Q-3_Siemens_1.06.25.08.21.Beta1,10.83,76.82,"2025-09-12 12:38:40"
0c70c6b0569cfdc7dda646e2d5a229f3f0063113fcc87ac6ec85bc73877d6b7b,CN.TH,01,THJK07003Q-3_Siemens_1.06.25.11.12.Beta1,10.83,76.82,"2025-10-03 07:31:01"
d4416bd81386758833569ba76d7408f0ab8e27cd8e7e0caac381b63d2b84e38d,VENDOR-P1,VENDOR-P1,2.3.1,12.88,77.65,"2026-03-10 07:46:39"
fcc1ad183c16c6ba1ed99eab3f40f8ad3ff8a80a330e26fd87a20ac0d25a1fd6,SIEMENS,01,THJK07003Q-3_Siemens_1.06.25.11.12.Beta1,10.17,76.36,"2025-11-11 06:14:49"
f05af0e83d37e26f98bb1dc600d779968bb56d97c41fa330f583c20f88d9ccfd,IONGRID,SUPERNOVA,5.0.2-5.0.2,9.44,76.54,"2025-11-18 05:03:04"
9e0c60fe51d812caed04467fa9220d88003a254b402c65b1c8b6eb0133503366,Exicom,HE518118,V43.12.12.00_4.19.941_8.46A10,9.32,76.80,"2025-11-27 05:49:55"
df2cd091651c294daefff0cd206b8e088816f41de68a1ee46cb10e145c17708f,IONGRID,SUPERNOVA,5.0.0-5.0.0,9.53,76.51,"2025-12-01 04:48:45"
865615408023a358009cd073ca47dab9d8008bbbffa35aa6833e35f10ea64afe,CN.TH,01,THJK07003Q-3_Siemens_1.06.26.03.25.Beta1,11.48,75.98,"2025-12-13 07:19:44"
58f8548d56bdc2ed4d06c84ace04ea896b627fa039c8483f51448a6b44773b93,CN.TH,01,THJK07003Q-3_Siemens_1.06.25.11.12.Beta1,11.26,75.81,"2025-12-31 06:30:38"
effec622ee527252975881bc215f03312ad8afad1b2c4e6e87f39b4ad89a02c1,SIEMENS,01,THJK07003Q-3_Siemens_1.06.25.11.12.Beta1,9.21,76.69,"2026-02-09 11:29:34"
431e92d9604c67fae4d8753dd8a38ffb49424b4ef6162915c76ce69e782d7e73,CN.TH,01,THJK07003Q-3_Siemens_1.06.26.03.25.Beta1,9.21,76.69,"2026-02-09 11:31:01"
4108962c9d00ab739d2a9518b0f69a2af67d7aa5038dc762e1228f9999e9ae25,CN.TH,01,THJK07003Q-3_Siemens_1.06.26.03.25.Beta1,11.29,75.77,"2026-03-16 14:23:41"
dc5c2008ad56ac9cf0325b5316e8b953a8281941597ad851bee4a3f130ff1367,VENDOR-P251,3.3KW,0.0.3.0,8.73,76.90,"2025-10-17 12:31:21"
6adb3c1eba81d5145886c542b2b8ee2697ac40a0463956c3d1ae5249aa326052,SIEMENS,01,THJK07003Q-3_Siemens_1.06.26.03.25.Beta1,9.08,76.67,"2026-04-20 07:02:53"
8905fc471184652b586f1462cff33618a6c4dd03766bef5592a60ac614ee5e76,NULL,NULL,NULL,9.71,76.67,"2026-03-07 06:08:55"
bc9add7ac0ecc77c85f34e54724e7d6452e4f99b91498421f20b3f3a32b049db,CN.TH,01,THJK07003Q-3_Siemens_1.06.25.10.28.Beta1,11.44,75.95,"2025-10-06 14:04:16"
f445710f16d40682995da6fffe5db8b4c8992f340d25276a11841398964a5d69,SIEMENS,01,THJK07003Q-3_Siemens_1.06.25.11.12.Beta1,8.56,76.98,"2025-10-24 05:24:34"
686ba97ee66b9aeb395e3cd24ba2d77739666f93f002bfe981b76f19d4b64cf9,EXICOM,HE518847,42.12.30.00_03.06_04.00.02_04.00.02,9.32,76.80,"2025-11-11 06:11:52"
2e50193202bea324cf06cd9bd779fe36de9ec126293288d83a291195284527ae,IONGRID,SUPERNOVA,4.0.6-,9.44,76.54,"2025-11-11 06:13:19"
96bf94bdc3912a17c7f0edb0a37b4b46c48fcfbd2af761a440b0820a3aa9a66c,Exicom,HE518506,V43.12.24.00_4.19.941_8t48A10,10.83,76.82,"2025-11-11 06:14:05"
74d4d7a0cbc3cc83d691c9f3fbf8e3299b827b73040c70cdc82893e2aaa835d7,IONGRID,3.3KW,0.0.4.6,9.44,76.54,"2025-11-26 07:20:39"
9a7e4268fe372c46e8e49b922f21761a196abc472fa5427b34e9a8b59cc49ca3,IONGRID,"7.4KW Charger",0.0.4.7_IOEXP_0.00,9.44,76.54,"2025-11-26 07:29:10"
197225e3755bcb172a07f9a56be3fb435b3a5504e6759d66d8b19fa4d730398f,Tucker,Fatafat,2.1.0,10.16,76.64,"2025-11-28 11:15:15"
981038588429af2000566b12a7e84eda9dd784f37b62ad1746b55089fbc74853,Tucker,Fatafat,3.0.1,10.16,76.64,"2025-11-28 11:16:48"
183c3f208af90758fa95899ae788bba2eb21c69b33ea475ece24d38bd1c74d7f,Tucker,Fatafat,2.1.0,10.16,76.64,"2026-01-08 09:58:36"
fa1677dc61fb5e54af3a0f8afef84bc757bcca33796efa2a0d0d60cdac306c7d,Tucker,Fatafat,3.0.1,10.70,76.73,"2026-01-08 09:59:47"
fbdcd07a2709da817b848e63f8ea4701d66555b50d9ecd43807128af78dd7ba3,Tucker,Fatafat,2.1.0,10.16,76.64,"2026-01-08 10:11:24"
99a46cb0b35c4650798487406f599788dd46462c97cfeb0ef59000a4dde9798c,Tucker,Fatafat,2.1.0,10.16,76.64,"2026-01-08 11:06:26"
5fcea75e2567c82874c091479aa5644e1f450c462626642d6f35ca0a79b6c1ef,Tucker,Fatafat,3.0.1,9.08,76.67,"2026-01-08 11:07:23"
17fcade76be53479216572ddce49282f3cc093da470ac4c65ec7fcc790c09cd1,Tucker,Fatafat,2.1.0,11.48,75.98,"2026-01-08 11:12:52"
7ed43c45864495561669f4d8bbddf58797359b842d80a9da49b1a2c9b76874c9,ACSENERGY,3.3kw,0.0.2.12,10.16,76.64,"2026-01-08 11:14:11"
e39114c52c543556046876fde1e98078f68bf84153dfb7213f0ceeef13920943,Tucker,Fatafat,2.1.0,10.16,76.64,"2026-01-08 11:16:18"
d7c53e8c84ba68c492ab9b2cb0b2327621e6bbc7637cf0c98ab0552862efd8a6,Tucker,Type2,3.0.3,10.02,76.38,"2026-01-08 11:17:22"
576a3e9910c7e9f02b0de37f785db4cdf6fd5d76f4af59fbf2c58df1d1087895,ACSENERGY,3.3kw,0.0.2.12,11.62,75.58,"2026-01-20 06:12:54"
d4537697d7f287e338e238e48a687aded8ef705830474274357bc083d75102dc,ACS285,3.3kw,0.0.2.12,11.88,75.38,"2026-01-20 06:14:04"
a49f7413c401405281e0dd0634ce9fb5127367a37466a5c41abcd9d6ebaf238d,ACS286,3.3kw,0.0.2.12,11.85,75.72,"2026-01-23 14:18:17"
288d27180a3109fcd2faeb88fb51eb5c5705464e3f19ac8afb810c6d7b7defb5,ACSENERGY,3.3kw,0.0.2.12,12.40,75.20,"2026-02-09 14:10:22"
