error_code,vendor_error_code
NoError,NULL
Websocket Disconnected,
NoError,0
OtherError,0
Available after Finishing Status,
Transaction Stopped,
UnderVoltage,0
NoError,None
InternalError,0x03120000
OtherError,0x02070000
NoError,
OtherError,0x051a0000
EVCommunicationError,0x05260000
OverVoltage,0
OtherError,006002
OtherError,0x05140000
OtherError,0x02050000
OtherError,0x05210000
OtherError,0x05230000
OtherError,006003
NoError,106003
OtherError,004017
NoError,104017
OtherError,0x05100000
OtherError,0x054a0000
ConnectorLockFailure,0x02110000
OtherError,0x023a0000
OtherError,0x023c0000
OtherError,
OtherError,00400A
NoError,10400A
OtherError,0x02120000
OtherError,0x05060000
OtherError,0x05180000
InternalError,0x030e0000
OtherError,NULL
NoError,ER009
OtherError,ER009
OtherError,0x02140000
NoError,ER006
OtherError,ER006
GroundFailure,0
GroundFailure,ER005
NoError,ER005
UnderVoltage,ER002
OtherError,ER004
PowerSwitchFailure,0
OtherError,0x023f0000
OtherError,0x05160000
PowerSwitchFailure,ER012
NoError,ER012
WeakSignal,0
UnderVoltage,0x020c0000
OtherError,0x05190000
OtherError,0x023d0000
UnderVoltage,0x8
OtherError,0x04010000
OtherError,ER008
OtherError,ER031
NoError,302
OtherError,ER021
NoError,201
OtherError,ER018
UnderVoltage,0x021e0000
NoError,0x00
LocalListConflict,OCPP:0x0003f600
EVCommunicationError,CCU:0x0000003b(Context:0x00)
OtherError,OCPP:0x0003fd00
EVCommunicationError,CCU:0x0000005a(Context:0x00)
EVCommunicationError,CCU:0x0000003c(Context:0x00)
EVCommunicationError,CCU:0x0000001f(Context:0x00)
InternalError,CCU:0x00000046(Context:0x00)
OtherError,ER053
OtherError,ER014
OtherError,ER041
OtherError,308
EVCommunicationError,203
NoError,ER001
OverVoltage,ER001
OtherError,ER030
OtherError,ER043
GroundFailure,0x0001
OtherError,ER013
OtherError,ER035
NoError,ER002
InternalError,CCU:0x0000000c(Context:0x00)
OtherError,0x021c0000
ReaderFailure,00016
OtherError,305
OtherError,0x04030000
OtherError,OtherError
NoError,NoError
PowerMeterFailure,PowerMeterFailure
OtherError,0x05110000
OtherError,0x02270000
InternalError,NULL
UnderVoltage,NULL
OtherError,Alarm1-Err4000
OtherError,Alarm1-Err4
OtherError,Alarm1-Err200
UnderVoltage,Alarm2-Err20
OtherError,0x0002
PowerMeterFailure,Alarm1-Err800
EVCommunicationError,00007
OtherError,0x051b0000
OtherError,system-err1050
OtherError,system-err1051
OtherError,Alarm1-Err8
OtherError,28
OtherError,system-err203
NoError,ER004
NoError,ER013
ConnectorLockFailure,NULL
OtherError,system-err1024
EVCommunicationError,NULL
NoError,ER015
OtherError,system-err1059
PowerSwitchFailure,ER002
OtherError,system-err105F
UnderVoltage,UnderVoltage
HighTemperature,ER013
OtherError,system-err40B
OtherError,Alarm1-Err20
OtherError,system-err2004
UnderVoltage,00012
OverCurrentFailure,ER003
OtherError,Alarm2-Err200
OtherError,20
OtherError,None
OtherError,system-err2002
PowerMeterFailure,None
NoError,ER014
OverCurrentFailure,NULL
OverVoltage,NULL
OtherError,system-err20E
OtherError,Alarm2-Err1
OtherError,Alarm2-Err4000
OtherError,system-err1057
WeakSignal,NULL
WeakSignal,weaksignalstrength
OtherError,system-err202
OtherError,00041
InternalError,00006
OtherError,Alarm1-Err1000
OtherError,system-err40E
OtherError,00000
OtherError,Alarm2-Err4
OtherError,system-err208
OtherError,Alarm2-Err20
UnderVoltage,0x4003
ReaderFailure,NULL
PowerMeterFailure,NULL
PowerSwitchFailure,ER014
ResetFailure,NULL
OtherError,system-err204
EVCommunicationError,system-err203
EVCommunicationError,0
PowerSwitchFailure,00022
PowerSwitchFailure,00050
PowerSwitchFailure,00061
WeakSignal,ER017
OtherError,system-err2001
OtherError,system-err210
InternalError,1033-Abnormal power failure
PowerSwitchFailure,02-001
OtherError,01-014
OtherError,system-err2003
PowerSwitchFailure,NULL
InternalError,
PowerMeterFailure,ER010
OtherError,01-031
OtherError,01-030
EVCommunicationError,11-020
EVCommunicationError,21-080
OtherError,21-104
NoError,2
NoError,402
,ER008
,ER031
OtherError,260
OtherError,31
OtherError,926
OtherError,21-061
,ER018
,ER024
,ER026
,ER030
OtherError,11-025
NoError,3
OtherError,7
OtherError,931
OtherError,933
NoError,815
WeakSignal,4
InternalError,11
OtherError,308-9-9
OtherError,308-3-3
PowerSwitchFailure,ER006
OtherError,01-013
InternalError,215
OtherError,701
OtherError,310
OtherError,11-042
OtherError,215
EVCommunicationError,ER024
OtherError,40
EVCommunicationError,ER043
InternalError,201-3-3
OtherError,928
InternalError,14
OtherError,262
OtherError,212
OtherError,308-5-5
OtherError,ER045
InternalError,201-0-0
OtherError,986
OtherError,981
UnderVoltage,01-011
OtherError,804
InternalError,205
OtherError,205
OtherError,ER023
OtherError,308-0-0
OtherError,220
InternalError,220
OtherError,11-010
OtherError,983
OtherError,311-5-5
OtherError,308-7-7
OtherError,805
OtherError,system-err1047
OtherError,21-103
OtherError,985
OtherError,8
OtherError,213-7-7
OtherError,705
OtherError,211
,ER066
OtherError,system-err20D
OtherError,21-102
HighTemperature,01-033
OtherError,0x051c0000
EVCommunicationError,ER041
OtherError,ER034
OtherError,ER047
OtherError,ER054
OtherError,982
OtherError,308-4-4
InternalError,201-14-3
GroundFailure,C025
OtherError,814
OtherError,727
OtherError,302
,ER054
,ER055
,ER019
,ER025
,ER041
,ER023
OtherError,EmergencyStop
,ER001
NoError,308
OtherError,308-8-7
OtherError,11-041
NoError,203
NoError,310
OtherError,922
OverCurrentFailure,257
OtherError,203
,ER006
OtherError,01-039
OtherError,22
OtherError,ER026
OtherError,11-060
OtherError,ER025
OtherError,ER019
OtherError,ER024
OtherError,ER055
,ER035
,ER013
GroundFailure,00037
UnderVoltage,C013
NoError,305
PowerMeterFailure,ER009
PowerMeterFailure,ER034
PowerMeterFailure,ER047
ReaderFailure,ER008
InternalError,ER014
OtherError,309
OtherError,01-029
OtherError,984
NoError,303
OtherError,ER012
OtherError,217
ConnectorLockFailure,0
ConnectorLockFailure,ER066
OtherError,11-022
WeakSignal,ER014
OverVoltage,0x4002
OtherError,16
,ER047
,ER034
OtherError,0x02150000
EVCommunicationError,21-082
EVCommunicationError,21-081
OtherError,11-043
PowerMeterFailure,0
OtherError,LeakageDeviceFailure
OtherError,Alarm1-Err10
EVCommunicationError,ER044
EVCommunicationError,ER046
EVCommunicationError,21-083
OtherError,21-057
OtherError,11-026
OtherError,01-027
OtherError,21-060
OtherError,11-021
HighTemperature,11-045
OverVoltage,C014
NoError,301
OtherError,15-Emergency stop
InternalError,evse_board_support/MREC15PowerLoss
OtherError,0x012
InternalError,evse_board_support/EarthFault
OtherError,00005
OtherError,ER036
OtherError,11-075
OtherError,ER005
OtherError,00C109
NoError,10C109
OtherError,29-Guide voltage anomaly
EVCommunicationError,81-Communication board system error
OtherError,37-AC input undervoltage
GroundFailure,49-PE loss
NoError,PES-0
OtherError,935
NoError,0x0000000000000000
EVCommunicationError,21-084
OtherError,01-042
GroundFailure,01-014
OtherError,308-6-6
InternalError,20
GroundFailure,NULL
NoError,816
HighTemperature,ER001
OtherError,21-062
NoError,2409:40d2:101f:4275:84c:5b8b:b494:749
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,Remote stop triggered via RemoteOperations endpoint
NoError,REDACTED-IP
NoError,REDACTED-IP
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
LocalListConflict,405
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,REDACTED-IP
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,2405:201:f00b:d806:7521:c536:6250:8985
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,REDACTED-IP
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,REDACTED-IP
NoError,REDACTED-IP
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,405
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,REDACTED-IP
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,REDACTED-IP
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,REDACTED-IP
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,2409:40f3:2051:a877:b044:fbff:fe38:fe4
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,idTag=REDACTED
NoError,REDACTED-IP
NoError,idTag=REDACTED
