manufacturer,models,chargers
NULL,1,132
Elmo,1,102
ACSENERGY,1,37
SCHARGE,9,29
FLEXTRON,1,28
ZEROFP,17,27
TP,1,18
Mindra,2,13
mindra,3,12
SIEMENS,4,12
AOMG,9,12
Tucker,2,11
Tech_Green_Innovations,1,9
MoveONEV,1,8
CN.TH,1,8
RNEV,5,8
OKAYA,7,8
MOVEONEV,6,7
Ark Energy,3,6
ACS ENERGY,4,6
TECHVOLT,1,5
TGI,1,5
IONGRID,3,5
ZEROFOOTPRINT,4,5
Liberty,1,4
amiktechnologies,1,4
ACS,2,4
Zetwerk,4,4
RN EV,1,3
sz-unit-co,1,3
MPXEV,3,3
ZFP,3,3
MPX EV,1,2
MCS Cargar,1,2
Enter,1,2
EXICOM,1,2
ACS285,1,2
ACS286,1,2
ZRROFOOTPRINT,1,2
MERAS,1,2
telluspower,1,2
UnitedChargers,2,2
Ayka Control System,2,2
Bender GmbH Co. KG,2,2
Exicom,2,2
ZeroFootprint,2,2
Joint,1,1
moveonev,1,1
Jogani IND Complex,1,1
MOVEON,1,1
MoveonEV,1,1
AMOGLPMKW21,1,1
IES,1,1
AOMG 0031,1,1
AOMG-0032,1,1
AOMG TMJ 26,1,1
VERDE 001,1,1
VERDE 002,1,1
VERDHE 003,1,1
VERDE 004,1,1
VERDE 005,1,1
VERDE,1,1
verde,1,1
MPX,1,1
AOMG027,1,1
AOMG028,1,1
ACS 113,1,1
ACS 115,1,1
Jet EV,1,1
ACS119,1,1
ACS120,1,1
ACSENERGY121,1,1
ACS116,1,1
ACS125,1,1
ACS128,1,1
ACS130,1,1
ACS131,1,1
ACS132,1,1
ACS135,1,1
ACS136,1,1
ACS137,1,1
ACS138,1,1
ACS139,1,1
ACS140,1,1
ACS141,1,1
ACS142,1,1
ACS143,1,1
ACS144,1,1
ACS145,1,1
ACS146,1,1
ACS147,1,1
ACS148,1,1
ACS149,1,1
ACS150,1,1
amiktechnilogies,1,1
ACS118,1,1
VENDOR-P251,1,1
POWERPLUG,1,1
POWER PLUG,1,1
TOBOR,1,1
ACS-ENERGY,1,1
HKZN,1,1
ACS276,1,1
ACS277,1,1
ACS278,1,1
ACS279,1,1
ACS280,1,1
ACS281,1,1
ACS282,1,1
ACS284,1,1
ACS291,1,1
ACS292,1,1
AOMG-034,1,1
AOMG-038,1,1
ACS345,1,1
ACS348,1,1
ekoenergetyka_v1,1,1
DC_TYPE,1,1
VENDOR-P1,1,1
Kazam,1,1
VNT,1,1
zetwerk,1,1
dd,1,1
E-FUEL,1,1
sicon.china,1,1
Plugzmart,1,1
NAVINS001,1,1
EV,1,1
LabotekAC,1,1
h,1,1
EV-ON CHARGING,1,1
ChargeQ,1,1
