hashed_charge_box_id,total_plugs,physical_plug_ids
8798cead57abc6a4c36761fb280e25ce7ebc86beffd1dddaad291d4cc30b5ce1,1,1
96088fa11f9b61057829eca60d3c1f20239af177a03135b2bebe4d9061816a7a,2,"1,2"
fa3c27acdc1602f771eaf3d5ce3ea21522e67612d5fe1093c5af66a477cf9e78,3,"0,1,2"
0c70c6b0569cfdc7dda646e2d5a229f3f0063113fcc87ac6ec85bc73877d6b7b,3,"0,1,2"
d4416bd81386758833569ba76d7408f0ab8e27cd8e7e0caac381b63d2b84e38d,2,"1,2"
fcc1ad183c16c6ba1ed99eab3f40f8ad3ff8a80a330e26fd87a20ac0d25a1fd6,2,"0,1"
f05af0e83d37e26f98bb1dc600d779968bb56d97c41fa330f583c20f88d9ccfd,3,"0,1,2"
9e0c60fe51d812caed04467fa9220d88003a254b402c65b1c8b6eb0133503366,3,"0,1,2"
df2cd091651c294daefff0cd206b8e088816f41de68a1ee46cb10e145c17708f,3,"0,1,2"
865615408023a358009cd073ca47dab9d8008bbbffa35aa6833e35f10ea64afe,3,"0,1,2"
58f8548d56bdc2ed4d06c84ace04ea896b627fa039c8483f51448a6b44773b93,2,"0,1"
effec622ee527252975881bc215f03312ad8afad1b2c4e6e87f39b4ad89a02c1,2,"0,1"
431e92d9604c67fae4d8753dd8a38ffb49424b4ef6162915c76ce69e782d7e73,3,"0,1,2"
4108962c9d00ab739d2a9518b0f69a2af67d7aa5038dc762e1228f9999e9ae25,3,"0,1,2"
dc5c2008ad56ac9cf0325b5316e8b953a8281941597ad851bee4a3f130ff1367,2,"0,1"
6adb3c1eba81d5145886c542b2b8ee2697ac40a0463956c3d1ae5249aa326052,2,"0,1"
8905fc471184652b586f1462cff33618a6c4dd03766bef5592a60ac614ee5e76,2,"1,2"
bc9add7ac0ecc77c85f34e54724e7d6452e4f99b91498421f20b3f3a32b049db,2,"0,1"
f445710f16d40682995da6fffe5db8b4c8992f340d25276a11841398964a5d69,3,"0,1,2"
686ba97ee66b9aeb395e3cd24ba2d77739666f93f002bfe981b76f19d4b64cf9,3,"0,1,2"
2e50193202bea324cf06cd9bd779fe36de9ec126293288d83a291195284527ae,3,"0,1,2"
96bf94bdc3912a17c7f0edb0a37b4b46c48fcfbd2af761a440b0820a3aa9a66c,3,"0,1,2"
74d4d7a0cbc3cc83d691c9f3fbf8e3299b827b73040c70cdc82893e2aaa835d7,2,"0,1"
9a7e4268fe372c46e8e49b922f21761a196abc472fa5427b34e9a8b59cc49ca3,2,"0,1"
197225e3755bcb172a07f9a56be3fb435b3a5504e6759d66d8b19fa4d730398f,1,1
981038588429af2000566b12a7e84eda9dd784f37b62ad1746b55089fbc74853,1,1
183c3f208af90758fa95899ae788bba2eb21c69b33ea475ece24d38bd1c74d7f,1,1
fa1677dc61fb5e54af3a0f8afef84bc757bcca33796efa2a0d0d60cdac306c7d,1,1
fbdcd07a2709da817b848e63f8ea4701d66555b50d9ecd43807128af78dd7ba3,1,1
99a46cb0b35c4650798487406f599788dd46462c97cfeb0ef59000a4dde9798c,1,1
5fcea75e2567c82874c091479aa5644e1f450c462626642d6f35ca0a79b6c1ef,1,1
17fcade76be53479216572ddce49282f3cc093da470ac4c65ec7fcc790c09cd1,2,"0,1"
7ed43c45864495561669f4d8bbddf58797359b842d80a9da49b1a2c9b76874c9,1,1
e39114c52c543556046876fde1e98078f68bf84153dfb7213f0ceeef13920943,1,1
d7c53e8c84ba68c492ab9b2cb0b2327621e6bbc7637cf0c98ab0552862efd8a6,2,"0,1"
576a3e9910c7e9f02b0de37f785db4cdf6fd5d76f4af59fbf2c58df1d1087895,2,"0,1"
d4537697d7f287e338e238e48a687aded8ef705830474274357bc083d75102dc,2,"0,1"
a49f7413c401405281e0dd0634ce9fb5127367a37466a5c41abcd9d6ebaf238d,2,"0,1"
288d27180a3109fcd2faeb88fb51eb5c5705464e3f19ac8afb810c6d7b7defb5,2,"0,1"
